Address,Postcode,Suburb,Regionname,CouncilArea,Type,Price,SellerG,Method,Date,Year,Month,NewBed,Bathroom,Bathroom_was_0,Car,Car_was_missing,Distance,Landsize,Landsize_Indicator,BuildingArea
2/6 Merrilands Rd,3073,Reservoir,Northern Metropolitan,Darebin,u,490000,Ray,S,2017-05-13,2017,5,2,1.0,False,1.0,False,11.2,143,0,85.0
1/74 Miranda Rd,3073,Reservoir,Northern Metropolitan,Darebin,h,605000,Love,S,2017-05-13,2017,5,3,1.0,False,2.0,False,11.2,371,0,112.0
1/209 Purinuan Rd,3073,Reservoir,Northern Metropolitan,Darebin,t,652000,Nelson,S,2017-05-13,2017,5,2,2.0,False,2.0,False,11.2,254,0,93.0
1/80 Delaware St,3073,Reservoir,Northern Metropolitan,Darebin,t,615000,Ray,S,2017-05-20,2017,5,2,1.0,False,1.0,False,11.2,202,0,
3/80 Delaware St,3073,Reservoir,Northern Metropolitan,Darebin,u,407000,Ray,S,2017-05-20,2017,5,1,1.0,False,1.0,False,11.2,108,0,
44 Mendip Rd,3073,Reservoir,Northern Metropolitan,Darebin,h,930000,Barry,S,2017-05-20,2017,5,4,1.0,False,3.0,False,11.2,635,0,
1/28 North Rd,3073,Reservoir,Northern Metropolitan,Darebin,t,741000,Barry,S,2017-05-20,2017,5,3,2.0,False,2.0,False,11.2,257,0,120.0
2/87 Purinuan Rd,3073,Reservoir,Northern Metropolitan,Darebin,h,375000,Nelson,PI,2017-05-20,2017,5,2,1.0,False,1.0,False,11.2,101,0,67.0
6 Sedge Ct,3073,Reservoir,Northern Metropolitan,Darebin,h,1005000,Nelson,S,2017-05-20,2017,5,4,2.0,False,5.0,False,11.2,768,0,
32 Ayr St,3073,Reservoir,Northern Metropolitan,Darebin,h,800000,RW,SP,2017-04-22,2017,4,4,1.0,False,4.0,False,11.2,605,0,
42 Elinda Pl,3073,Reservoir,Northern Metropolitan,Darebin,u,395000,Stockdale,S,2017-04-22,2017,4,2,1.0,False,1.0,False,11.2,166,0,
6 Joffre St,3073,Reservoir,Northern Metropolitan,Darebin,h,1025000,Barry,S,2017-04-29,2017,4,2,2.0,False,1.0,False,11.2,715,0,
4/65 Thackeray Rd,3073,Reservoir,Northern Metropolitan,Darebin,u,505000,RW,S,2017-04-29,2017,4,2,1.0,False,1.0,False,11.2,110,0,1.0
7 Berry St,3121,Richmond,Northern Metropolitan,Yarra,h,950000,hockingstuart,VB,2017-05-06,2017,5,2,1.0,False,0.0,False,2.6,150,0,
60 Gardner St,3121,Richmond,Northern Metropolitan,Yarra,h,1110000,hockingstuart,S,2017-05-06,2017,5,2,1.0,False,0.0,False,2.6,166,0,
49 Garfield St,3121,Richmond,Northern Metropolitan,Yarra,t,950000,hockingstuart,VB,2017-05-06,2017,5,2,1.0,False,1.0,False,2.6,113,0,118.0
4/39 Hunter St,3121,Richmond,Northern Metropolitan,Yarra,u,1226000,hockingstuart,S,2017-05-06,2017,5,2,1.0,False,1.0,False,2.6,826,0,99.0
118 Somerset St,3121,Richmond,Northern Metropolitan,Yarra,h,1214000,Nelson,S,2017-05-06,2017,5,3,1.0,False,0.0,False,2.6,176,0,106.0
308/633 Church St,3121,Richmond,Northern Metropolitan,Yarra,u,790000,Biggin,SP,2017-04-08,2017,4,3,1.0,False,1.0,False,2.6,0,1,90.0
29 Gipps St,3121,Richmond,Northern Metropolitan,Yarra,h,1400000,Nelson,VB,2017-04-08,2017,4,3,2.0,False,0.0,False,2.6,848,0,
307/18 Hull St,3121,Richmond,Northern Metropolitan,Yarra,u,500000,Jellis,VB,2017-04-08,2017,4,2,1.0,False,1.0,False,2.6,0,1,
1/2 Little Kent St,3121,Richmond,Northern Metropolitan,Yarra,t,1090000,Fletchers,S,2017-04-08,2017,4,2,2.0,False,1.0,False,2.6,0,1,137.0
113A Richmond Tce,3121,Richmond,Northern Metropolitan,Yarra,h,1785000,hockingstuart,S,2017-04-08,2017,4,3,1.0,False,0.0,False,2.6,240,0,115.0
101/27 Dickmann St,3121,Richmond,Northern Metropolitan,Yarra,u,690000,hockingstuart,VB,2017-05-13,2017,5,2,2.0,False,1.0,False,2.6,760,0,
43 Gardner St,3121,Richmond,Northern Metropolitan,Yarra,h,1050000,Biggin,PI,2017-05-13,2017,5,2,1.0,False,0.0,False,2.6,134,0,63.7
293 Highett St,3121,Richmond,Northern Metropolitan,Yarra,h,2060000,Marshall,PI,2017-05-13,2017,5,3,2.0,False,1.0,False,2.6,181,0,
62 Butler St,3121,Richmond,Northern Metropolitan,Yarra,h,860000,Biggin,PI,2017-05-20,2017,5,2,1.0,False,0.0,False,2.6,111,0,
6/323 Church St,3121,Richmond,Northern Metropolitan,Yarra,t,1052000,Jellis,S,2017-05-20,2017,5,3,1.0,False,2.0,False,2.6,0,1,100.0
2 Portland St,3121,Richmond,Northern Metropolitan,Yarra,h,3000000,Jellis,VB,2017-05-20,2017,5,3,2.0,False,7.0,False,2.6,230,0,204.0
3 Kimber St,3121,Richmond,Northern Metropolitan,Yarra,h,1330000,Jellis,S,2017-04-22,2017,4,3,1.0,False,1.0,False,2.6,154,0,95.0
30 Corsair St,3121,Richmond,Northern Metropolitan,Yarra,h,1210000,Jellis,S,2017-04-29,2017,4,2,1.0,False,0.0,False,2.6,178,0,
2 Moore St,3121,Richmond,Northern Metropolitan,Yarra,h,911000,Biggin,S,2017-04-29,2017,4,1,1.0,False,0.0,False,2.6,126,0,77.0
57 Type St,3121,Richmond,Northern Metropolitan,Yarra,h,1590000,hockingstuart,S,2017-04-29,2017,4,3,1.0,False,1.0,False,2.6,318,0,
154 Grandview Gr,3084,Rosanna,Eastern Metropolitan,Banyule,h,1380000,Fletchers,S,2017-04-08,2017,4,4,2.0,False,2.0,False,11.4,607,0,
34 Haughton Pde,3084,Rosanna,Eastern Metropolitan,Banyule,h,1150000,Miles,SP,2017-05-13,2017,5,4,1.0,False,2.0,False,11.4,672,0,
35 Thomson Dr,3084,Rosanna,Eastern Metropolitan,Banyule,h,1160000,Barry,S,2017-05-20,2017,5,4,2.0,False,2.0,False,11.4,613,0,
7/4 Banyule Rd,3084,Rosanna,Eastern Metropolitan,Banyule,u,615000,Miles,S,2017-04-29,2017,4,2,1.0,False,1.0,False,11.4,190,0,105.0
5 Finlayson St,3084,Rosanna,Eastern Metropolitan,Banyule,h,940000,Miles,VB,2017-04-29,2017,4,3,2.0,False,2.0,False,11.4,581,0,
199 Buckley St,3011,Seddon,Western Metropolitan,Maribyrnong,h,665000,Village,PI,2017-05-13,2017,5,2,1.0,False,0.0,False,6.6,269,0,80.0
29 Tennyson St,3011,Seddon,Western Metropolitan,Maribyrnong,h,950000,Village,S,2017-05-13,2017,5,3,1.0,False,0.0,False,6.6,220,0,
4 Henry St,3011,Seddon,Western Metropolitan,Maribyrnong,h,1085000,Village,S,2017-05-20,2017,5,2,1.0,False,2.0,False,6.6,249,0,
3 Walter St,3011,Seddon,Western Metropolitan,Maribyrnong,h,847000,Jas,S,2017-05-20,2017,5,3,1.0,False,1.0,False,6.6,205,0,
68 Windsor St,3011,Seddon,Western Metropolitan,Maribyrnong,h,785000,hockingstuart,S,2017-05-20,2017,5,2,1.0,False,1.0,False,6.6,116,0,
20 Glover St,3205,South Melbourne,Southern Metropolitan,Port Phillip,h,2240000,Greg,S,2017-05-06,2017,5,3,2.0,False,1.0,False,2.1,197,0,168.0
28 Nelson Pl,3205,South Melbourne,Southern Metropolitan,Port Phillip,h,2050000,Marshall,PI,2017-05-06,2017,5,3,2.0,False,1.0,False,2.1,230,0,
8/192 Cecil St,3205,South Melbourne,Southern Metropolitan,Port Phillip,u,460000,hockingstuart,S,2017-04-08,2017,4,1,1.0,False,1.0,False,2.1,0,1,42.0
5 Park Pl,3205,South Melbourne,Southern Metropolitan,Port Phillip,u,650000,hockingstuart,VB,2017-04-08,2017,4,2,1.0,False,0.0,False,2.1,438,0,2.0
24B Dow St,3205,South Melbourne,Southern Metropolitan,Port Phillip,t,1100000,Marshall,S,2017-05-13,2017,5,2,1.0,False,1.0,False,2.1,327,0,75.0
27 Lyell St,3205,South Melbourne,Southern Metropolitan,Port Phillip,h,1820000,WHITEFOX,S,2017-05-13,2017,5,3,1.0,False,1.0,False,2.1,204,0,105.0
13 Martin St,3205,South Melbourne,Southern Metropolitan,Port Phillip,h,1780000,Buxton,S,2017-05-20,2017,5,3,2.0,False,2.0,False,2.1,202,0,
55 Cobden St,3205,South Melbourne,Southern Metropolitan,Port Phillip,h,1024000,Williams,S,2017-04-22,2017,4,2,1.0,False,0.0,False,2.1,102,0,
53/39 Dorcas St,3205,South Melbourne,Southern Metropolitan,Port Phillip,u,680000,Greg,VB,2017-04-22,2017,4,3,2.0,False,2.0,False,2.1,0,1,110.87
125 Napier St,3205,South Melbourne,Southern Metropolitan,Port Phillip,h,1150000,Greg,PI,2017-04-22,2017,4,2,1.0,False,1.0,False,2.1,91,0,
411/38 Bank St,3205,South Melbourne,Southern Metropolitan,Port Phillip,u,710000,Greg,VB,2017-04-29,2017,4,3,2.0,False,2.0,False,2.1,0,1,150.0
6/38 Chambers St,3141,South Yarra,Southern Metropolitan,Stonnington,u,1320000,RT,S,2017-05-06,2017,5,3,2.0,False,2.0,False,3.3,15,0,15.0
407/800 Chapel St,3141,South Yarra,Southern Metropolitan,Stonnington,u,537000,hockingstuart,S,2017-05-06,2017,5,1,1.0,False,1.0,False,3.3,0,1,
806/800 Chapel St,3141,South Yarra,Southern Metropolitan,Stonnington,u,800000,Beller,VB,2017-05-06,2017,5,2,2.0,False,2.0,False,3.3,0,1,
1/52 Caroline St,3141,South Yarra,Southern Metropolitan,Stonnington,u,410000,hockingstuart,S,2017-04-08,2017,4,1,1.0,False,0.0,False,3.3,0,1,
10/14 Cromwell Rd,3141,South Yarra,Southern Metropolitan,Stonnington,u,499000,hockingstuart,S,2017-04-08,2017,4,2,1.0,False,1.0,False,3.3,0,1,
14 Moore St,3141,South Yarra,Southern Metropolitan,Stonnington,h,1214000,hockingstuart,S,2017-04-08,2017,4,2,1.0,False,0.0,False,3.3,161,0,82.0
2/63 Domain St,3141,South Yarra,Southern Metropolitan,Melbourne,u,920000,Williams,S,2017-05-13,2017,5,3,1.0,False,1.0,False,3.3,0,1,
30/30 Murphy St,3141,South Yarra,Southern Metropolitan,Stonnington,u,615000,hockingstuart,S,2017-05-13,2017,5,2,1.0,False,1.0,False,3.3,0,1,
3/555 Punt Rd,3141,South Yarra,Southern Metropolitan,Melbourne,u,642000,Kay,S,2017-05-13,2017,5,2,1.0,False,1.0,False,3.3,595,0,
65 Caroline St,3141,South Yarra,Southern Metropolitan,Stonnington,t,3475000,Marshall,S,2017-05-20,2017,5,3,3.0,False,1.0,False,3.3,296,0,
7 Cassell St,3141,South Yarra,Southern Metropolitan,Stonnington,h,1710000,Jellis,PI,2017-05-20,2017,5,2,2.0,False,0.0,False,3.3,208,0,145.0
26 Howitt St,3141,South Yarra,Southern Metropolitan,Stonnington,u,851000,Biggin,S,2017-05-20,2017,5,2,1.0,False,1.0,False,3.3,284,0,
30 Nicholson St,3141,South Yarra,Southern Metropolitan,Stonnington,t,2030000,Kay,S,2017-05-20,2017,5,3,2.0,False,2.0,False,3.3,201,0,
9 Nicholson St,3141,South Yarra,Southern Metropolitan,Stonnington,h,1405000,Beller,S,2017-04-22,2017,4,2,1.0,False,0.0,False,3.3,219,0,
5/9 Rockley Rd,3141,South Yarra,Southern Metropolitan,Stonnington,u,792500,Jellis,S,2017-04-22,2017,4,2,1.0,False,1.0,False,3.3,0,1,106.0
13/47 Marne St,3141,South Yarra,Southern Metropolitan,Melbourne,u,390500,hockingstuart,SP,2017-04-29,2017,4,1,1.0,False,0.0,False,3.3,775,0,46.0
1/215 Williams Rd,3141,South Yarra,Southern Metropolitan,Stonnington,u,595000,Kay,S,2017-04-29,2017,4,2,1.0,False,2.0,False,3.3,0,1,
5/18 Barkly St,3182,St Kilda,Southern Metropolitan,Port Phillip,u,346000,Buxton,SP,2017-05-06,2017,5,1,1.0,False,1.0,False,6.1,678,0,
11/52 Alma Rd,3182,St Kilda,Southern Metropolitan,Port Phillip,u,320000,hockingstuart,VB,2017-04-08,2017,4,1,1.0,False,1.0,False,6.1,1036,0,
22/14 Crimea St,3182,St Kilda,Southern Metropolitan,Port Phillip,u,350000,hockingstuart,VB,2017-04-08,2017,4,1,1.0,False,1.0,False,6.1,1236,0,
23A Havelock St,3182,St Kilda,Southern Metropolitan,Port Phillip,h,1120000,hockingstuart,S,2017-04-08,2017,4,2,1.0,False,0.0,False,6.1,135,0,74.0
2/25 Acland St,3182,St Kilda,Southern Metropolitan,Port Phillip,t,1077000,Marshall,S,2017-05-13,2017,5,2,1.0,False,1.0,False,6.1,455,0,98.0
34 Acland St,3182,St Kilda,Southern Metropolitan,Port Phillip,h,1301000,Wilson,S,2017-05-13,2017,5,2,1.0,False,1.0,False,6.1,165,0,97.0
25 Fawkner St,3182,St Kilda,Southern Metropolitan,Port Phillip,h,1440000,Marshall,S,2017-05-13,2017,5,2,1.0,False,2.0,False,6.1,194,0,112.0
15/20 Princes St,3182,St Kilda,Southern Metropolitan,Port Phillip,u,680000,Buxton,S,2017-05-20,2017,5,2,1.0,False,0.0,False,6.1,0,1,
63 Chapel St,3182,St Kilda,Southern Metropolitan,Port Phillip,h,1361000,Buxton,S,2017-04-22,2017,4,3,1.0,False,0.0,False,6.1,246,0,
7/29 Marine Pde,3182,St Kilda,Southern Metropolitan,Port Phillip,u,1000000,McGrath,SP,2017-04-22,2017,4,3,1.0,False,0.0,False,6.1,0,1,115.0
11/74 Barkly St,3182,St Kilda,Southern Metropolitan,Port Phillip,u,902000,McGrath,S,2017-04-29,2017,4,2,1.0,False,1.0,False,6.1,18,0,
1/23 Eildon Rd,3182,St Kilda,Southern Metropolitan,Port Phillip,u,1190000,Gary,S,2017-04-29,2017,4,3,1.0,False,1.0,False,6.1,460,0,140.0
5 Octavia St,3182,St Kilda,Southern Metropolitan,Port Phillip,h,920000,hockingstuart,S,2017-04-29,2017,4,2,1.0,False,0.0,False,6.1,190,0,
105/60 Wellington St,3182,St Kilda,Southern Metropolitan,Port Phillip,u,482000,McGrath,S,2017-04-29,2017,4,2,1.0,False,1.0,False,6.1,0,1,54.0
35 Wordsworth St,3182,St Kilda,Southern Metropolitan,Port Phillip,h,2260000,McGrath,S,2017-04-29,2017,4,4,2.0,False,1.0,False,6.1,297,0,
18 Strathaird St,3041,Strathmore,Western Metropolitan,Moonee Valley,h,810000,Nelson,PI,2017-05-06,2017,5,4,1.0,False,1.0,False,9.7,543,0,137.0
8 Jones Ct,3041,Strathmore,Western Metropolitan,Moonee Valley,h,1021000,Considine,S,2017-04-08,2017,4,3,2.0,False,2.0,False,9.7,371,0,183.0
12 Loeman St,3041,Strathmore,Western Metropolitan,Moonee Valley,t,925000,Frank,S,2017-04-08,2017,4,3,3.0,False,1.0,False,9.7,555,0,293.0
186 Mascoma St,3041,Strathmore,Western Metropolitan,Moonee Valley,h,910000,Brad,SP,2017-04-08,2017,4,5,2.0,False,2.0,False,9.7,533,0,204.0
221 Mascoma St,3041,Strathmore,Western Metropolitan,Moonee Valley,h,900000,Nelson,VB,2017-05-13,2017,5,3,1.0,False,2.0,False,9.7,531,0,
1 Lebanon St,3041,Strathmore,Western Metropolitan,Moonee Valley,h,995000,Jellis,SP,2017-05-20,2017,5,3,2.0,False,3.0,False,9.7,653,0,
68 Willonga St,3041,Strathmore,Western Metropolitan,Moonee Valley,h,1150000,Brad,SP,2017-05-20,2017,5,5,2.0,False,2.0,False,9.7,702,0,
54 Ardoyne St,3020,Sunshine,Western Metropolitan,Brimbank,h,940000,Douglas,S,2017-05-06,2017,5,3,2.0,False,2.0,False,12.6,572,0,190.0
138 Devonshire Rd,3020,Sunshine,Western Metropolitan,Brimbank,h,726000,YPA,S,2017-05-06,2017,5,4,2.0,False,0.0,False,12.6,567,0,95.0
27 Parsons St,3020,Sunshine,Western Metropolitan,Brimbank,h,950000,Douglas,S,2017-05-06,2017,5,3,1.0,False,1.0,False,12.6,725,0,
14 Baker St,3020,Sunshine,Western Metropolitan,Brimbank,h,760000,Douglas,S,2017-04-08,2017,4,4,1.0,False,5.0,False,12.6,650,0,
2 Colin St,3020,Sunshine,Western Metropolitan,Brimbank,h,990000,FN,S,2017-04-08,2017,4,4,1.0,False,6.0,False,12.6,654,0,189.0
10 Dundalk St,3020,Sunshine,Western Metropolitan,Brimbank,h,651500,Barry,S,2017-04-08,2017,4,3,1.0,False,1.0,False,12.6,555,0,
2 Islington St,3020,Sunshine,Western Metropolitan,Brimbank,h,970000,Douglas,S,2017-04-22,2017,4,4,1.0,False,4.0,False,12.6,615,0,
3 Mellor St,3020,Sunshine,Western Metropolitan,Brimbank,h,841000,Douglas,S,2017-04-22,2017,4,3,1.0,False,2.0,False,12.6,557,0,
69 Duke St,3020,Sunshine,Western Metropolitan,Brimbank,h,710000,Village,S,2017-04-29,2017,4,3,1.0,False,0.0,False,12.6,483,0,93.84
73 Monash St,3020,Sunshine,Western Metropolitan,Brimbank,h,840000,FN,PI,2017-04-29,2017,4,3,1.0,False,1.0,False,12.6,462,0,108.0
115 Wright St,3020,Sunshine,Western Metropolitan,Brimbank,h,660000,Douglas,S,2017-04-29,2017,4,3,2.0,False,2.0,False,12.6,660,0,
10 Yewers St,3020,Sunshine,Western Metropolitan,Brimbank,h,692000,FN,S,2017-04-29,2017,4,3,1.0,False,1.0,False,12.6,485,0,
25 Lincoln St,3020,Sunshine North,Western Metropolitan,Brimbank,h,830000,Douglas,S,2017-05-06,2017,5,3,1.0,False,2.0,False,13.3,608,0,
19 Plymouth Cl,3020,Sunshine North,Western Metropolitan,Brimbank,h,600000,Douglas,S,2017-05-06,2017,5,3,1.0,False,2.0,False,13.3,465,0,
25 Downing St,3020,Sunshine North,Western Metropolitan,Brimbank,h,718000,Douglas,S,2017-05-13,2017,5,3,1.0,False,2.0,False,13.3,551,0,
3 Belmore Rd,3020,Sunshine North,Western Metropolitan,Brimbank,h,775000,Douglas,S,2017-04-29,2017,4,4,1.0,False,2.0,False,13.3,665,0,147.0
90 McIntyre Rd,3020,Sunshine North,Western Metropolitan,Brimbank,h,490000,Douglas,PI,2017-04-29,2017,4,3,1.0,False,1.0,False,13.3,546,0,145.0
32 Killara St,3020,Sunshine West,Western Metropolitan,Brimbank,h,716000,Barry,S,2017-05-06,2017,5,3,1.0,False,1.0,False,13.5,534,0,120.0
7 Foxcroft Ct,3020,Sunshine West,Western Metropolitan,Brimbank,h,511000,Barry,S,2017-04-08,2017,4,3,2.0,False,2.0,False,13.5,519,0,
1/10 Fremont Pde,3020,Sunshine West,Western Metropolitan,Brimbank,h,515000,Brad,SP,2017-04-08,2017,4,4,2.0,False,2.0,False,13.5,332,0,159.0
27 Warmington Rd,3020,Sunshine West,Western Metropolitan,Brimbank,h,530000,Barry,S,2017-04-08,2017,4,3,1.0,False,1.0,False,13.5,573,0,119.0
91 Hilma St,3020,Sunshine West,Western Metropolitan,Brimbank,h,685000,Bells,S,2017-05-13,2017,5,4,2.0,False,2.0,False,13.5,572,0,184.0
13 Murray St,3020,Sunshine West,Western Metropolitan,Brimbank,h,700000,Douglas,PI,2017-04-22,2017,4,3,1.0,False,2.0,False,13.5,701,0,
133 David Dr,3020,Sunshine West,Western Metropolitan,Brimbank,t,521000,Bells,S,2017-04-29,2017,4,3,3.0,False,2.0,False,13.5,134,0,124.45
100 Links St,3020,Sunshine West,Western Metropolitan,Brimbank,h,571000,GL,S,2017-04-29,2017,4,3,1.0,False,1.0,False,13.5,757,0,100.0
7 The Mews,3020,Sunshine West,Western Metropolitan,Brimbank,h,710000,S&L,SP,2017-04-29,2017,4,3,1.0,False,4.0,False,13.5,990,0,
3/700 Canterbury Rd,3127,Surrey Hills,Southern Metropolitan,Whitehorse,u,682000,Ham,S,2017-05-06,2017,5,2,1.0,False,2.0,False,11.2,119,0,
2/35 Boisdale St,3127,Surrey Hills,Southern Metropolitan,Whitehorse,u,825000,Fletchers,S,2017-05-13,2017,5,2,1.0,False,2.0,False,11.2,180,0,85.0
61 Broughton Rd,3127,Surrey Hills,Southern Metropolitan,Whitehorse,h,1525000,Fletchers,S,2017-05-13,2017,5,3,2.0,False,2.0,False,11.2,347,0,195.0
18 Empress Rd,3127,Surrey Hills,Southern Metropolitan,Boroondara,h,1260000,Jellis,SP,2017-05-13,2017,5,2,1.0,False,0.0,False,11.2,269,0,124.0
29 Weybridge St,3127,Surrey Hills,Southern Metropolitan,Boroondara,h,2360000,Marshall,S,2017-05-13,2017,5,4,2.0,False,2.0,False,11.2,764,0,265.0
1/6 Blackburn St,3127,Surrey Hills,Southern Metropolitan,Boroondara,h,1250000,Fletchers,SP,2017-05-20,2017,5,2,2.0,False,1.0,False,11.2,323,0,96.0
26 Everton Gr,3127,Surrey Hills,Southern Metropolitan,Whitehorse,h,1490000,Noel,S,2017-05-20,2017,5,4,1.0,False,4.0,False,11.2,605,0,
6A Thistle St,3127,Surrey Hills,Southern Metropolitan,Boroondara,h,1600000,Marshall,PI,2017-05-20,2017,5,4,1.0,False,2.0,False,11.2,600,0,186.0
68 Weybridge St,3127,Surrey Hills,Southern Metropolitan,Boroondara,h,1652000,Kay,S,2017-05-20,2017,5,3,2.0,False,2.0,False,11.2,368,0,150.0
8 Durham Rd,3127,Surrey Hills,Southern Metropolitan,Boroondara,h,2370000,Jellis,PI,2017-04-29,2017,4,4,3.0,False,2.0,False,11.2,773,0,300.0
2/92 Foote St,3107,Templestowe Lower,Eastern Metropolitan,Manningham,t,940000,Jellis,PI,2017-05-06,2017,5,3,2.0,False,3.0,False,13.8,281,0,
6 Jean St,3107,Templestowe Lower,Eastern Metropolitan,Manningham,h,1503500,Noel,S,2017-05-06,2017,5,3,1.0,False,1.0,False,13.8,907,0,
8 Esther St,3107,Templestowe Lower,Eastern Metropolitan,Manningham,t,950000,hockingstuart,VB,2017-04-08,2017,4,3,2.0,False,2.0,False,13.8,306,0,
4 Michael St,3107,Templestowe Lower,Eastern Metropolitan,Manningham,h,1370000,Barry,S,2017-04-08,2017,4,3,1.0,False,2.0,False,13.8,743,0,
5 Fran Ct,3107,Templestowe Lower,Eastern Metropolitan,Manningham,h,1181000,Parkes,SP,2017-05-13,2017,5,4,2.0,False,2.0,False,13.8,805,0,
21 Rooney St,3107,Templestowe Lower,Eastern Metropolitan,Manningham,h,1385000,Barry,S,2017-05-13,2017,5,3,1.0,False,2.0,False,13.8,745,0,
258 Thompsons Rd,3107,Templestowe Lower,Eastern Metropolitan,Manningham,h,1180000,Philip,S,2017-05-20,2017,5,3,1.0,False,3.0,False,13.8,655,0,
254 Thompsons Rd,3107,Templestowe Lower,Eastern Metropolitan,Manningham,h,1302000,Ray,S,2017-04-22,2017,4,4,2.0,False,2.0,False,13.8,650,0,
11 Airdrie Ct,3107,Templestowe Lower,Eastern Metropolitan,Manningham,h,1775000,Jellis,S,2017-04-29,2017,4,5,4.0,False,2.0,False,13.8,501,0,
177 Raleigh St,3071,Thornbury,Northern Metropolitan,Darebin,h,1750000,McGrath,S,2017-05-06,2017,5,3,1.0,False,3.0,False,6.5,712,0,
129 Collins St,3071,Thornbury,Northern Metropolitan,Darebin,h,1345000,Love,S,2017-04-08,2017,4,3,2.0,False,4.0,False,6.5,584,0,
104 Mansfield St,3071,Thornbury,Northern Metropolitan,Darebin,h,1080000,Miles,S,2017-04-08,2017,4,3,1.0,False,1.0,False,6.5,408,0,
145 Shaftesbury Pde,3071,Thornbury,Northern Metropolitan,Darebin,h,1195000,Love,S,2017-04-08,2017,4,3,1.0,False,2.0,False,6.5,463,0,131.0
4/2 Strettle St,3071,Thornbury,Northern Metropolitan,Darebin,u,716000,Love,S,2017-04-08,2017,4,2,1.0,False,1.0,False,6.5,0,1,87.0
9 Ethel St,3071,Thornbury,Northern Metropolitan,Darebin,t,865000,buyMyplace,S,2017-05-13,2017,5,3,2.0,False,2.0,False,6.5,194,0,
1/73 Flinders St,3071,Thornbury,Northern Metropolitan,Darebin,u,462000,Nelson,S,2017-05-13,2017,5,2,1.0,False,1.0,False,6.5,0,1,
107 Hutton St,3071,Thornbury,Northern Metropolitan,Darebin,h,1100000,Woodards,PI,2017-05-13,2017,5,3,2.0,False,1.0,False,6.5,359,0,
221 Mansfield St,3071,Thornbury,Northern Metropolitan,Darebin,h,1635000,Jellis,S,2017-05-13,2017,5,4,2.0,False,2.0,False,6.5,464,0,
3/1 Smith St,3071,Thornbury,Northern Metropolitan,Darebin,t,998000,Jellis,SP,2017-05-13,2017,5,3,2.0,False,1.0,False,6.5,0,1,166.0
3/31 Clapham St,3071,Thornbury,Northern Metropolitan,Darebin,u,600000,Love,S,2017-05-20,2017,5,2,1.0,False,1.0,False,6.5,0,1,59.0
35D Clapham St,3071,Thornbury,Northern Metropolitan,Darebin,h,1346000,Nelson,S,2017-05-20,2017,5,3,2.0,False,2.0,False,6.5,349,0,130.0
171 Mansfield St,3071,Thornbury,Northern Metropolitan,Darebin,h,1130000,Jellis,S,2017-05-20,2017,5,3,1.0,False,1.0,False,6.5,381,0,
292 Rathmines St,3071,Thornbury,Northern Metropolitan,Darebin,h,1275000,Jellis,PI,2017-05-20,2017,5,3,1.0,False,2.0,False,6.5,517,0,115.0
10 Speight St,3071,Thornbury,Northern Metropolitan,Darebin,h,1200000,Woodards,S,2017-05-20,2017,5,3,1.0,False,1.0,False,6.5,447,0,
140 Dundas St,3071,Thornbury,Northern Metropolitan,Darebin,h,915000,Love,S,2017-04-22,2017,4,2,1.0,False,1.0,False,6.5,502,0,
199 Mansfield St,3071,Thornbury,Northern Metropolitan,Darebin,u,300000,McGrath,SP,2017-04-22,2017,4,1,1.0,False,1.0,False,6.5,948,0,
1/44 Hammond St,3071,Thornbury,Northern Metropolitan,Darebin,u,880000,McGrath,SP,2017-04-29,2017,4,3,1.0,False,2.0,False,6.5,242,0,117.0
58 Leinster Gr,3071,Thornbury,Northern Metropolitan,Darebin,t,960000,Jellis,S,2017-04-29,2017,4,2,2.0,False,2.0,False,6.5,158,0,133.0
5 Shaftesbury Pde,3071,Thornbury,Northern Metropolitan,Darebin,h,1260000,Nelson,S,2017-04-29,2017,4,2,1.0,False,0.0,False,6.5,317,0,96.0
68 Wilmoth St,3071,Thornbury,Northern Metropolitan,Darebin,h,1100000,McGrath,SP,2017-04-29,2017,4,2,1.0,False,1.0,False,6.5,330,0,132.0
8 Graham Rd,3084,Viewbank,Eastern Metropolitan,Banyule,h,810000,Miles,VB,2017-05-06,2017,5,3,1.0,False,1.0,False,13.8,667,0,
23 Kuranga Rd,3084,Viewbank,Eastern Metropolitan,Banyule,h,1140000,Miles,S,2017-04-08,2017,4,4,2.0,False,4.0,False,13.8,863,0,
6 Dawn Ct,3084,Viewbank,Eastern Metropolitan,Banyule,h,1003000,Nelson,S,2017-05-20,2017,5,4,2.0,False,2.0,False,13.8,619,0,
9 Rockaway Dr,3084,Viewbank,Eastern Metropolitan,Banyule,h,1155000,Fletchers,PI,2017-04-22,2017,4,4,2.0,False,3.0,False,13.8,780,0,217.0
60 Orana Dr,3087,Watsonia,Northern Metropolitan,Banyule,h,880000,Barry,S,2017-05-06,2017,5,3,1.0,False,4.0,False,14.9,555,0,
5 Regis Ct,3087,Watsonia,Northern Metropolitan,Banyule,h,826000,Barry,S,2017-05-06,2017,5,5,1.0,False,2.0,False,14.9,545,0,132.0
12 Black St,3087,Watsonia,Northern Metropolitan,Banyule,h,952000,Barry,S,2017-04-08,2017,4,4,2.0,False,2.0,False,14.9,729,0,
2/42 Wattle Dr,3087,Watsonia,Northern Metropolitan,Banyule,h,677500,Buckingham,S,2017-04-08,2017,4,3,1.0,False,2.0,False,14.9,245,0,
